INDEX  ROW  COLUMN R   G   B
4126   33   30     175 171 170
4127   33   31     161 153 141
4128   33   32     149 141 128
4129   33   33     147 142 132
4130   33   34     159 154 149
4132   33   36     176 179 181
4141   33   45     182 185 186
4142   33   46     186 187 189
4143   33   47     184 185 187
4146   33   50     181 183 186
4147   33   51     184 186 183
4149   33   53     167 160 155
4150   33   54     134 126 117
4151   33   55     99  85  71
4155   33   59     93  54  35
4156   33   60     109 60  36
4157   33   61     108 58  38
4158   33   62     109 62  33
4159   33   63     111 63  37
4160   33   64     116 70  48
4161   33   65     119 82  54
4162   33   66     118 84  58
4163   33   67     109 74  50
4164   33   68     93  60  36
4169   33   73     92  49  24
4170   33   74     98  52  30
4171   33   75     95  57  41
4173   33   77     92  67  50
4182   33   86     92  75  56
4183   33   87     104 83  63
4184   33   88     99  81  63
4189   33   93     93  73  61
4190   33   94     99  83  64
4191   33   95     116 97  86
4192   33   96     124 113 100
4194   33   98     130 124 122
4195   33   99     140 138 135
4196   33   100    154 155 150
4197   33   101    178 173 175
4213   33   117    186 189 191
4214   33   118    181 179 177
4215   33   119    143 138 141
4216   33   120    99  90  86
4220   33   124    104 87  76
4221   33   125    124 112 103
4222   33   126    134 129 122
4223   33   127    125 116 109
4224   33   128    125 116 109
4251   34   27     183 184 186
4253   34   29     181 185 183
4254   34   30     170 165 160
4255   34   31     148 140 131
4256   34   32     132 120 106
4257   34   33     126 117 100
4258   34   34     133 128 123
4259   34   35     150 148 145
4260   34   36     168 166 164
4261   34   37     176 174 172
4262   34   38     178 182 180
4263   34   39     181 178 183
4265   34   41     183 179 182
4266   34   42     182 180 184
4267   34   43     176 180 178
4272   34   48     182 180 178
4276   34   52     180 184 182
4277   34   53     167 168 164
4278   34   54     138 132 127
4279   34   55     103 87  76
4284   34   60     98  54  32
4285   34   61     103 58  35
4286   34   62     107 58  35
4287   34   63     110 63  38
4288   34   64     117 71  44
4289   34   65     118 79  56
4290   34   66     118 85  58
4291   34   67     104 77  51
4292   34   68     94  64  40
4296   34   72     92  49  24
4297   34   73     101 58  29
4298   34   74     104 61  33
4299   34   75     97  60  42
4310   34   86     103 87  64
4311   34   87     111 93  72
4312   34   88     103 88  64
4316   34   92     91  69  50
4317   34   93     105 77  57
4318   34   94     107 80  64
4319   34   95     108 86  73
4320   34   96     104 84  72
4321   34   97     106 88  83
4322   34   98     102 95  90
4323   34   99     128 117 116
4324   34   100    150 146 143
4325   34   101    176 171 173
4326   34   102    179 180 182
4343   34   119    131 128 126
4348   34   124    104 75  56
4349   34   125    113 94  71
4350   34   126    110 91  77
4351   34   127    105 83  68
4352   34   128    105 83  68
4381   35   29     178 182 183
4382   35   30     162 157 152
4383   35   31     135 127 114
4384   35   32     110 95  80
4385   35   33     100 86  73
4386   35   34     111 100 89
4387   35   35     127 120 116
4388   35   36     150 148 140
4389   35   37     162 163 158
4391   35   39     173 170 167
4392   35   40     173 174 169
4393   35   41     173 171 169
4394   35   42     171 166 168
4395   35   43     165 160 162
